input,recipe_name,output
peas garlic brinjal cashew paste ghee,Brinjal Curry,"### CONTEXT
Ingredients: peas, garlic, brinjal, cashew paste, ghee

### ANSWER
<RECIPE_NAME> Brinjal Curry
<STEP> Heat oil in pan and sauté garlic until slightly golden.
<STEP> Add brinjal and cook until the mixture turns soft.
<STEP> Add peas with cashew paste and stir gently to coat.
<STEP> Cook the mixture until peas absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
rice mushroom egg coriander,Egg Biryani,"### CONTEXT
Ingredients: rice, mushroom, egg, coriander

### ANSWER
<RECIPE_NAME> Egg Biryani
<STEP> Heat ghee in a pot and sauté mushroom until fragrant.
<STEP> Add egg and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add coriander and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with egg.
<END>"
rice egg beans mushroom cashew mint,Egg Biryani,"### CONTEXT
Ingredients: rice, egg, beans, mushroom, cashew, mint

### ANSWER
<RECIPE_NAME> Egg Biryani
<STEP> Heat ghee in a pot and sauté egg until fragrant.
<STEP> Add beans and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add mushroom and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with beans.
<END>"
chicken butter garlic mint,Tandoori Chicken,"### CONTEXT
Ingredients: chicken, butter, garlic, mint

### ANSWER
<RECIPE_NAME> Tandoori Chicken
<STEP> Marinate chicken with butter, garlic and mint thoroughly.
<STEP> Coat the mixture well so chicken absorbs all flavors.
<STEP> Add spices according to your liking and mix again.
<STEP> Let the marinated chicken rest for better flavor.
<STEP> Cook in oven or tandoor until edges become slightly charred.
<STEP> Brush with butter and roast briefly again.
<STEP> Serve hot with butter and lemon.
<END>"
beans carrot yogurt onion garlic tomato cashew paste,Beans Curry,"### CONTEXT
Ingredients: beans, carrot, yogurt, onion, garlic, tomato, cashew paste

### ANSWER
<RECIPE_NAME> Beans Curry
<STEP> Heat oil in pan and sauté carrot until slightly golden.
<STEP> Add yogurt and cook until the mixture turns soft.
<STEP> Add beans with onion and stir gently to coat.
<STEP> Cook the mixture until beans absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
okra cauliflower onion garlic capsicum,Cauliflower Curry,"### CONTEXT
Ingredients: okra, cauliflower, onion, garlic, capsicum

### ANSWER
<RECIPE_NAME> Cauliflower Curry
<STEP> Heat oil in pan and sauté cauliflower until slightly golden.
<STEP> Add onion and cook until the mixture turns soft.
<STEP> Add okra with garlic and stir gently to coat.
<STEP> Cook the mixture until okra absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
rice yogurt cashew paneer beans,Paneer Biryani,"### CONTEXT
Ingredients: rice, yogurt, cashew, paneer, beans

### ANSWER
<RECIPE_NAME> Paneer Biryani
<STEP> Heat ghee in a pot and sauté yogurt until fragrant.
<STEP> Add cashew and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add paneer and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with cashew.
<END>"
chicken spinach capsicum cream tomato,Chicken Curry,"### CONTEXT
Ingredients: chicken, spinach, capsicum, cream, tomato

### ANSWER
<RECIPE_NAME> Chicken Curry
<STEP> Heat oil in pan and sauté spinach until slightly golden.
<STEP> Add capsicum and cook until the mixture turns soft.
<STEP> Add chicken with cream and stir gently to coat.
<STEP> Cook the mixture until chicken absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
chicken mushroom ghee yogurt tomato,Afghani Chicken,"### CONTEXT
Ingredients: chicken, mushroom, ghee, yogurt, tomato

### ANSWER
<RECIPE_NAME> Afghani Chicken
<STEP> Heat oil in pan and sauté mushroom until slightly golden.
<STEP> Add ghee and cook until the mixture turns soft.
<STEP> Add chicken with yogurt and stir gently to coat.
<STEP> Cook the mixture until chicken absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
chicken lemon coriander cream butter,Tandoori Chicken,"### CONTEXT
Ingredients: chicken, lemon, coriander, cream, butter

### ANSWER
<RECIPE_NAME> Tandoori Chicken
<STEP> Marinate chicken with lemon, coriander and cream thoroughly.
<STEP> Coat the mixture well so chicken absorbs all flavors.
<STEP> Add spices according to your liking and mix again.
<STEP> Let the marinated chicken rest for better flavor.
<STEP> Cook in oven or tandoor until edges become slightly charred.
<STEP> Brush with butter and roast briefly again.
<STEP> Serve hot with lemon and lemon.
<END>"
paneer butter yogurt lemon hung curd coriander,Tandoori Paneer,"### CONTEXT
Ingredients: paneer, butter, yogurt, lemon, hung curd, coriander

### ANSWER
<RECIPE_NAME> Tandoori Paneer
<STEP> Marinate paneer with butter, yogurt and lemon thoroughly.
<STEP> Coat the mixture well so paneer absorbs all flavors.
<STEP> Add spices according to your liking and mix again.
<STEP> Let the marinated paneer rest for better flavor.
<STEP> Cook in oven or tandoor until edges become slightly charred.
<STEP> Brush with butter and roast briefly again.
<STEP> Serve hot with butter and lemon.
<END>"
rice cashew onion paneer egg,Paneer Pulao,"### CONTEXT
Ingredients: rice, cashew, onion, paneer, egg

### ANSWER
<RECIPE_NAME> Paneer Pulao
<STEP> Heat ghee in a pot and sauté cashew until fragrant.
<STEP> Add onion and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add paneer and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with onion.
<END>"
rice egg raisins ghee,Egg Biryani,"### CONTEXT
Ingredients: rice, egg, raisins, ghee

### ANSWER
<RECIPE_NAME> Egg Biryani
<STEP> Heat ghee in a pot and sauté egg until fragrant.
<STEP> Add raisins and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add ghee and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with raisins.
<END>"
chicken potato spinach beans yogurt okra,Afghani Chicken,"### CONTEXT
Ingredients: chicken, potato, spinach, beans, yogurt, okra

### ANSWER
<RECIPE_NAME> Afghani Chicken
<STEP> Heat oil in pan and sauté potato until slightly golden.
<STEP> Add spinach and cook until the mixture turns soft.
<STEP> Add chicken with beans and stir gently to coat.
<STEP> Cook the mixture until chicken absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
rice ghee carrot egg paneer,Paneer Pulao,"### CONTEXT
Ingredients: rice, ghee, carrot, egg, paneer

### ANSWER
<RECIPE_NAME> Paneer Pulao
<STEP> Heat ghee in a pot and sauté ghee until fragrant.
<STEP> Add carrot and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add egg and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with carrot.
<END>"
egg capsicum peas cauliflower garlic butter,Egg Fry,"### CONTEXT
Ingredients: egg, capsicum, peas, cauliflower, garlic, butter

### ANSWER
<RECIPE_NAME> Egg Fry
<STEP> Heat oil in pan and sauté capsicum until aromatic.
<STEP> Add egg and cook on medium heat until sealed.
<STEP> Add peas and stir continuously so ingredients combine well.
<STEP> Mix in cauliflower and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with peas and cauliflower.
<END>"
rice paneer coriander raisins peas mushroom,Paneer Biryani,"### CONTEXT
Ingredients: rice, paneer, coriander, raisins, peas, mushroom

### ANSWER
<RECIPE_NAME> Paneer Biryani
<STEP> Heat ghee in a pot and sauté paneer until fragrant.
<STEP> Add coriander and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add raisins and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with coriander.
<END>"
mutton butter potato beans peas,Mutton Fry,"### CONTEXT
Ingredients: mutton, butter, potato, beans, peas

### ANSWER
<RECIPE_NAME> Mutton Fry
<STEP> Heat oil in pan and sauté butter until aromatic.
<STEP> Add mutton and cook on medium heat until sealed.
<STEP> Add potato and stir continuously so ingredients combine well.
<STEP> Mix in beans and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with potato and beans.
<END>"
rice onion carrot raisins coriander mushroom,Mushroom Biryani,"### CONTEXT
Ingredients: rice, onion, carrot, raisins, coriander, mushroom

### ANSWER
<RECIPE_NAME> Mushroom Biryani
<STEP> Heat ghee in a pot and sauté onion until fragrant.
<STEP> Add carrot and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add raisins and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with carrot.
<END>"
spinach cream brinjal yogurt beans ginger onion,Spinach Curry,"### CONTEXT
Ingredients: spinach, cream, brinjal, yogurt, beans, ginger, onion

### ANSWER
<RECIPE_NAME> Spinach Curry
<STEP> Heat oil in pan and sauté cream until slightly golden.
<STEP> Add brinjal and cook until the mixture turns soft.
<STEP> Add spinach with yogurt and stir gently to coat.
<STEP> Cook the mixture until spinach absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
mutton cream hung curd lemon,Tandoori Mutton,"### CONTEXT
Ingredients: mutton, cream, hung curd, lemon

### ANSWER
<RECIPE_NAME> Tandoori Mutton
<STEP> Marinate mutton with cream, hung curd and lemon thoroughly.
<STEP> Coat the mixture well so mutton absorbs all flavors.
<STEP> Add spices according to your liking and mix again.
<STEP> Let the marinated mutton rest for better flavor.
<STEP> Cook in oven or tandoor until edges become slightly charred.
<STEP> Brush with butter and roast briefly again.
<STEP> Serve hot with cream and lemon.
<END>"
flour water peas paneer,Paneer Paratha,"### CONTEXT
Ingredients: flour, water, peas, paneer

### ANSWER
<RECIPE_NAME> Paneer Paratha
<STEP> Mix flour with water and peas until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little paneer.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with water or yogurt.
<END>"
mutton coriander mint ginger butter,Tandoori Mutton,"### CONTEXT
Ingredients: mutton, coriander, mint, ginger, butter

### ANSWER
<RECIPE_NAME> Tandoori Mutton
<STEP> Marinate mutton with coriander, mint and ginger thoroughly.
<STEP> Coat the mixture well so mutton absorbs all flavors.
<STEP> Add spices according to your liking and mix again.
<STEP> Let the marinated mutton rest for better flavor.
<STEP> Cook in oven or tandoor until edges become slightly charred.
<STEP> Brush with butter and roast briefly again.
<STEP> Serve hot with coriander and lemon.
<END>"
rice raisins peas,Peas Biryani,"### CONTEXT
Ingredients: rice, raisins, peas

### ANSWER
<RECIPE_NAME> Peas Biryani
<STEP> Heat ghee in a pot and sauté raisins until fragrant.
<STEP> Add peas and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add raisins and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with peas.
<END>"
beans okra capsicum oil cauliflower,Cauliflower Curry,"### CONTEXT
Ingredients: beans, okra, capsicum, oil, cauliflower

### ANSWER
<RECIPE_NAME> Cauliflower Curry
<STEP> Heat oil in pan and sauté okra until slightly golden.
<STEP> Add capsicum and cook until the mixture turns soft.
<STEP> Add beans with oil and stir gently to coat.
<STEP> Cook the mixture until beans absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
rice coriander cashew peas beans mint,Peas Biryani,"### CONTEXT
Ingredients: rice, coriander, cashew, peas, beans, mint

### ANSWER
<RECIPE_NAME> Peas Biryani
<STEP> Heat ghee in a pot and sauté coriander until fragrant.
<STEP> Add cashew and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add peas and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with cashew.
<END>"
fish yogurt garlic butter,Tandoori Fish,"### CONTEXT
Ingredients: fish, yogurt, garlic, butter

### ANSWER
<RECIPE_NAME> Tandoori Fish
<STEP> Marinate fish with yogurt, garlic and butter thoroughly.
<STEP> Coat the mixture well so fish absorbs all flavors.
<STEP> Add spices according to your liking and mix again.
<STEP> Let the marinated fish rest for better flavor.
<STEP> Cook in oven or tandoor until edges become slightly charred.
<STEP> Brush with butter and roast briefly again.
<STEP> Serve hot with yogurt and lemon.
<END>"
paneer lemon coriander butter ginger garlic,Tandoori Paneer,"### CONTEXT
Ingredients: paneer, lemon, coriander, butter, ginger, garlic

### ANSWER
<RECIPE_NAME> Tandoori Paneer
<STEP> Marinate paneer with lemon, coriander and butter thoroughly.
<STEP> Coat the mixture well so paneer absorbs all flavors.
<STEP> Add spices according to your liking and mix again.
<STEP> Let the marinated paneer rest for better flavor.
<STEP> Cook in oven or tandoor until edges become slightly charred.
<STEP> Brush with butter and roast briefly again.
<STEP> Serve hot with lemon and lemon.
<END>"
flour potato onion ghee salt paneer,Paneer Paratha,"### CONTEXT
Ingredients: flour, potato, onion, ghee, salt, paneer

### ANSWER
<RECIPE_NAME> Paneer Paratha
<STEP> Mix flour with potato and onion until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little ghee.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with potato or yogurt.
<END>"
flour cauliflower yogurt oil ghee water,Cauliflower Paratha,"### CONTEXT
Ingredients: flour, cauliflower, yogurt, oil, ghee, water

### ANSWER
<RECIPE_NAME> Cauliflower Paratha
<STEP> Mix flour with cauliflower and yogurt until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little oil.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with cauliflower or yogurt.
<END>"
mutton capsicum ginger spinach ghee yogurt oil,Mutton Curry,"### CONTEXT
Ingredients: mutton, capsicum, ginger, spinach, ghee, yogurt, oil

### ANSWER
<RECIPE_NAME> Mutton Curry
<STEP> Heat oil in pan and sauté capsicum until slightly golden.
<STEP> Add ginger and cook until the mixture turns soft.
<STEP> Add mutton with spinach and stir gently to coat.
<STEP> Cook the mixture until mutton absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
egg carrot cashew paste ginger beans capsicum,Egg Curry,"### CONTEXT
Ingredients: egg, carrot, cashew paste, ginger, beans, capsicum

### ANSWER
<RECIPE_NAME> Egg Curry
<STEP> Heat oil in pan and sauté carrot until slightly golden.
<STEP> Add cashew paste and cook until the mixture turns soft.
<STEP> Add egg with ginger and stir gently to coat.
<STEP> Cook the mixture until egg absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
fish mushroom cauliflower peas beans potato,Fish Fry,"### CONTEXT
Ingredients: fish, mushroom, cauliflower, peas, beans, potato

### ANSWER
<RECIPE_NAME> Fish Fry
<STEP> Heat oil in pan and sauté mushroom until aromatic.
<STEP> Add fish and cook on medium heat until sealed.
<STEP> Add cauliflower and stir continuously so ingredients combine well.
<STEP> Mix in peas and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with cauliflower and peas.
<END>"
mushroom onion beans cauliflower,Cauliflower Fry,"### CONTEXT
Ingredients: mushroom, onion, beans, cauliflower

### ANSWER
<RECIPE_NAME> Cauliflower Fry
<STEP> Heat oil in pan and sauté onion until aromatic.
<STEP> Add mushroom and cook on medium heat until sealed.
<STEP> Add beans and stir continuously so ingredients combine well.
<STEP> Mix in cauliflower and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with beans and cauliflower.
<END>"
mutton mint butter coriander,Tandoori Mutton,"### CONTEXT
Ingredients: mutton, mint, butter, coriander

### ANSWER
<RECIPE_NAME> Tandoori Mutton
<STEP> Marinate mutton with mint, butter and coriander thoroughly.
<STEP> Coat the mixture well so mutton absorbs all flavors.
<STEP> Add spices according to your liking and mix again.
<STEP> Let the marinated mutton rest for better flavor.
<STEP> Cook in oven or tandoor until edges become slightly charred.
<STEP> Brush with butter and roast briefly again.
<STEP> Serve hot with mint and lemon.
<END>"
rice carrot beans onion potato,Potato Pulao,"### CONTEXT
Ingredients: rice, carrot, beans, onion, potato

### ANSWER
<RECIPE_NAME> Potato Pulao
<STEP> Heat ghee in a pot and sauté carrot until fragrant.
<STEP> Add beans and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add onion and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with beans.
<END>"
chicken onion garlic ginger carrot peas capsicum,Chicken Fry,"### CONTEXT
Ingredients: chicken, onion, garlic, ginger, carrot, peas, capsicum

### ANSWER
<RECIPE_NAME> Chicken Fry
<STEP> Heat oil in pan and sauté onion until aromatic.
<STEP> Add chicken and cook on medium heat until sealed.
<STEP> Add garlic and stir continuously so ingredients combine well.
<STEP> Mix in ginger and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with garlic and ginger.
<END>"
flour mushroom salt,Paratha,"### CONTEXT
Ingredients: flour, mushroom, salt

### ANSWER
<RECIPE_NAME> Paratha
<STEP> Mix flour with mushroom and salt until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little mushroom.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with mushroom or yogurt.
<END>"
spinach potato peas carrot mushroom,Potato Fry,"### CONTEXT
Ingredients: spinach, potato, peas, carrot, mushroom

### ANSWER
<RECIPE_NAME> Potato Fry
<STEP> Heat oil in pan and sauté potato until aromatic.
<STEP> Add spinach and cook on medium heat until sealed.
<STEP> Add peas and stir continuously so ingredients combine well.
<STEP> Mix in carrot and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with peas and carrot.
<END>"
egg cream mushroom yogurt cauliflower ginger brinjal,Egg Curry,"### CONTEXT
Ingredients: egg, cream, mushroom, yogurt, cauliflower, ginger, brinjal

### ANSWER
<RECIPE_NAME> Egg Curry
<STEP> Heat oil in pan and sauté cream until slightly golden.
<STEP> Add mushroom and cook until the mixture turns soft.
<STEP> Add egg with yogurt and stir gently to coat.
<STEP> Cook the mixture until egg absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
flour salt yogurt ghee spinach water,Spinach Paratha,"### CONTEXT
Ingredients: flour, salt, yogurt, ghee, spinach, water

### ANSWER
<RECIPE_NAME> Spinach Paratha
<STEP> Mix flour with salt and yogurt until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little ghee.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with salt or yogurt.
<END>"
egg spinach oil garlic beans,Egg Fry,"### CONTEXT
Ingredients: egg, spinach, oil, garlic, beans

### ANSWER
<RECIPE_NAME> Egg Fry
<STEP> Heat oil in pan and sauté spinach until aromatic.
<STEP> Add egg and cook on medium heat until sealed.
<STEP> Add oil and stir continuously so ingredients combine well.
<STEP> Mix in garlic and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with oil and garlic.
<END>"
rice egg onion paneer capsicum,Paneer Pulao,"### CONTEXT
Ingredients: rice, egg, onion, paneer, capsicum

### ANSWER
<RECIPE_NAME> Paneer Pulao
<STEP> Heat ghee in a pot and sauté egg until fragrant.
<STEP> Add onion and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add paneer and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with onion.
<END>"
mushroom onion potato carrot spinach peas,Potato Fry,"### CONTEXT
Ingredients: mushroom, onion, potato, carrot, spinach, peas

### ANSWER
<RECIPE_NAME> Potato Fry
<STEP> Heat oil in pan and sauté onion until aromatic.
<STEP> Add mushroom and cook on medium heat until sealed.
<STEP> Add potato and stir continuously so ingredients combine well.
<STEP> Mix in carrot and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with potato and carrot.
<END>"
peas garlic carrot,Peas Curry,"### CONTEXT
Ingredients: peas, garlic, carrot

### ANSWER
<RECIPE_NAME> Peas Curry
<STEP> Heat oil in pan and sauté garlic until slightly golden.
<STEP> Add carrot and cook until the mixture turns soft.
<STEP> Add peas with garlic and stir gently to coat.
<STEP> Cook the mixture until peas absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
carrot ginger beans garlic cauliflower butter,Cauliflower Fry,"### CONTEXT
Ingredients: carrot, ginger, beans, garlic, cauliflower, butter

### ANSWER
<RECIPE_NAME> Cauliflower Fry
<STEP> Heat oil in pan and sauté ginger until aromatic.
<STEP> Add carrot and cook on medium heat until sealed.
<STEP> Add beans and stir continuously so ingredients combine well.
<STEP> Mix in garlic and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with beans and garlic.
<END>"
mutton garlic butter lemon,Tandoori Mutton,"### CONTEXT
Ingredients: mutton, garlic, butter, lemon

### ANSWER
<RECIPE_NAME> Tandoori Mutton
<STEP> Marinate mutton with garlic, butter and lemon thoroughly.
<STEP> Coat the mixture well so mutton absorbs all flavors.
<STEP> Add spices according to your liking and mix again.
<STEP> Let the marinated mutton rest for better flavor.
<STEP> Cook in oven or tandoor until edges become slightly charred.
<STEP> Brush with butter and roast briefly again.
<STEP> Serve hot with garlic and lemon.
<END>"
brinjal garlic onion potato mushroom cream ginger,Potato Curry,"### CONTEXT
Ingredients: brinjal, garlic, onion, potato, mushroom, cream, ginger

### ANSWER
<RECIPE_NAME> Potato Curry
<STEP> Heat oil in pan and sauté garlic until slightly golden.
<STEP> Add onion and cook until the mixture turns soft.
<STEP> Add brinjal with potato and stir gently to coat.
<STEP> Cook the mixture until brinjal absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
rice egg coriander mint yogurt,Egg Biryani,"### CONTEXT
Ingredients: rice, egg, coriander, mint, yogurt

### ANSWER
<RECIPE_NAME> Egg Biryani
<STEP> Heat ghee in a pot and sauté egg until fragrant.
<STEP> Add coriander and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add mint and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with coriander.
<END>"
mutton yogurt ginger butter coriander,Tandoori Mutton,"### CONTEXT
Ingredients: mutton, yogurt, ginger, butter, coriander

### ANSWER
<RECIPE_NAME> Tandoori Mutton
<STEP> Marinate mutton with yogurt, ginger and butter thoroughly.
<STEP> Coat the mixture well so mutton absorbs all flavors.
<STEP> Add spices according to your liking and mix again.
<STEP> Let the marinated mutton rest for better flavor.
<STEP> Cook in oven or tandoor until edges become slightly charred.
<STEP> Brush with butter and roast briefly again.
<STEP> Serve hot with yogurt and lemon.
<END>"
rice onion peas potato carrot,Potato Pulao,"### CONTEXT
Ingredients: rice, onion, peas, potato, carrot

### ANSWER
<RECIPE_NAME> Potato Pulao
<STEP> Heat ghee in a pot and sauté onion until fragrant.
<STEP> Add peas and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add potato and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with peas.
<END>"
flour peas ghee onion water potato,Potato Paratha,"### CONTEXT
Ingredients: flour, peas, ghee, onion, water, potato

### ANSWER
<RECIPE_NAME> Potato Paratha
<STEP> Mix flour with peas and ghee until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little onion.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with peas or yogurt.
<END>"
fish spinach capsicum beans onion,Fish Fry,"### CONTEXT
Ingredients: fish, spinach, capsicum, beans, onion

### ANSWER
<RECIPE_NAME> Fish Fry
<STEP> Heat oil in pan and sauté spinach until aromatic.
<STEP> Add fish and cook on medium heat until sealed.
<STEP> Add capsicum and stir continuously so ingredients combine well.
<STEP> Mix in beans and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with capsicum and beans.
<END>"
rice cashew ghee carrot paneer coriander,Paneer Biryani,"### CONTEXT
Ingredients: rice, cashew, ghee, carrot, paneer, coriander

### ANSWER
<RECIPE_NAME> Paneer Biryani
<STEP> Heat ghee in a pot and sauté cashew until fragrant.
<STEP> Add ghee and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add carrot and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with ghee.
<END>"
